commodity,exchange_rate_regime,market_id,Start Date,End Date,Total Dates
"Livestock (sheep, two-year-old male)",Unified,Taiz City_Taizz,2016-06-01,2019-12-01,41
"Livestock (sheep, two-year-old male)",Unified,Zungubar City_Abyan,2016-07-01,2019-12-01,40
Oil (vegetable),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Oil (vegetable),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Oil (vegetable),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Oil (vegetable),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Oil (vegetable),North,Alsuail_Hajjah,2015-02-01,2024-05-01,68
Oil (vegetable),North,Amran City_Amran,2015-01-01,2024-05-01,72
Oil (vegetable),North,Dhamar City_Dhamar,2015-02-01,2024-05-01,71
Oil (vegetable),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Oil (vegetable),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Oil (vegetable),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Oil (vegetable),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Oil (vegetable),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Oil (vegetable),South,Aden City_Aden,2015-01-01,2024-07-01,73
Oil (vegetable),South,Al Ghaidha_Al Maharah,2018-04-01,2024-07-01,56
Oil (vegetable),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Oil (vegetable),South,Marib City_Marib,2018-04-01,2024-07-01,56
Oil (vegetable),South,Mukalla City_Hadramaut,2015-02-01,2024-07-01,72
Oil (vegetable),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Oil (vegetable),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Oil (vegetable),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Oil (vegetable),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Oil (vegetable),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Alsuail_Hajjah,2016-06-01,2019-05-01,34
Oil (vegetable),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Oil (vegetable),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Oil (vegetable),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Onions,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Onions,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Onions,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Onions,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Onions,North,Alsuail_Hajjah,2015-02-01,2024-05-01,70
Onions,North,Amran City_Amran,2015-01-01,2024-05-01,72
Onions,North,Dhamar City_Dhamar,2015-02-01,2024-05-01,71
Onions,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Onions,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Onions,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Onions,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Onions,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Onions,South,Aden City_Aden,2015-01-01,2024-07-01,73
Onions,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,63
Onions,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Onions,South,Marib City_Marib,2018-04-01,2024-07-01,56
Onions,South,Mukalla City_Hadramaut,2015-02-01,2024-07-01,72
Onions,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Onions,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Onions,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Onions,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Onions,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Onions,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Onions,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Onions,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Onions,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Onions,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Onions,Unified,Alsuail_Hajjah,2016-06-01,2019-11-01,39
Onions,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Onions,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Onions,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Onions,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Onions,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Onions,Unified,Jihana Almarkazi_Sana'a,2016-07-01,2019-12-01,40
Onions,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Onions,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Onions,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Onions,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Onions,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Onions,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Onions,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Onions,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
"Peas (yellow, split)",North,Al Bayda City_Al Bayda,2018-04-01,2024-05-01,49
"Peas (yellow, split)",North,Al Hazum_Al Jawf,2018-04-01,2021-11-01,10
"Peas (yellow, split)",North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
"Peas (yellow, split)",North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
"Peas (yellow, split)",North,Alsuail_Hajjah,2018-04-01,2021-04-01,13
"Peas (yellow, split)",North,Amran City_Amran,2015-01-01,2024-05-01,59
"Peas (yellow, split)",North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
"Peas (yellow, split)",North,Haradh Town_Hajjah,2015-01-01,2020-03-01,7
"Peas (yellow, split)",North,Ibb City_Ibb,2018-04-01,2024-05-01,30
"Peas (yellow, split)",North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
"Peas (yellow, split)",North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
"Peas (yellow, split)",North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
"Peas (yellow, split)",South,Aden City_Aden,2015-01-01,2024-07-01,60
"Peas (yellow, split)",South,Al Ghaidha_Al Maharah,2018-04-01,2018-09-01,2
"Peas (yellow, split)",South,Central Ataq_Shabwah,2018-04-01,2022-02-01,12
"Peas (yellow, split)",South,Marib City_Marib,2018-04-01,2022-03-01,29
"Peas (yellow, split)",South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
"Peas (yellow, split)",South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,5
"Peas (yellow, split)",South,Soqatra (Hudaibo)_Socotra,2018-04-01,2023-03-01,3
"Peas (yellow, split)",South,Taiz City_Taizz,2018-04-01,2024-07-01,56
"Peas (yellow, split)",South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
"Peas (yellow, split)",Unified,Aden City_Aden,2016-07-01,2024-06-01,41
"Peas (yellow, split)",Unified,Al Bayda City_Al Bayda,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Al Ghaidha_Al Maharah,2016-06-01,2019-09-01,38
"Peas (yellow, split)",Unified,Al Hazum_Al Jawf,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Al Jabeen_Raymah,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Alduhamih_Al Hudaydah,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
"Peas (yellow, split)",Unified,Amran City_Amran,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Central Ataq_Shabwah,2016-06-01,2019-12-01,41
"Peas (yellow, split)",Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
"Peas (yellow, split)",Unified,Haradh Town_Hajjah,2016-07-01,2019-09-01,37
"Peas (yellow, split)",Unified,Ibb City_Ibb,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Jihana Almarkazi_Sana'a,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Mahweet City_Al Mahwit,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Marib City_Marib,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Mukalla City_Hadramaut,2016-07-01,2024-06-01,41
"Peas (yellow, split)",Unified,Sana'a City_Amanat Al Asimah,2016-07-01,2019-12-01,40
"Peas (yellow, split)",Unified,Sayoun City_Hadramaut,2016-07-01,2024-06-01,27
"Peas (yellow, split)",Unified,Soqatra (Hudaibo)_Socotra,2016-08-01,2018-10-01,25
"Peas (yellow, split)",Unified,Taiz City_Taizz,2016-07-01,2024-06-01,41
"Peas (yellow, split)",Unified,Zungubar City_Abyan,2016-08-01,2024-06-01,40
Rice (imported),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Rice (imported),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Rice (imported),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Rice (imported),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
Rice (imported),North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Rice (imported),North,Amran City_Amran,2015-01-01,2024-05-01,59
Rice (imported),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Rice (imported),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Rice (imported),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Rice (imported),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Rice (imported),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Rice (imported),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
Rice (imported),South,Aden City_Aden,2015-01-01,2024-07-01,66
Rice (imported),South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Rice (imported),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Rice (imported),South,Marib City_Marib,2018-04-01,2024-07-01,56
Rice (imported),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Rice (imported),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Rice (imported),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Rice (imported),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Rice (imported),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Rice (imported),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Rice (imported),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Rice (imported),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Rice (imported),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Rice (imported),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Rice (imported),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Rice (imported),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Rice (imported),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Rice (imported),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Rice (imported),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Rice (imported),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Rice (imported),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Rice (imported),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Rice (imported),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Rice (imported),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Rice (imported),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Rice (imported),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Rice (imported),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Rice (imported),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Rice (imported),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Rice (imported),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Salt,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Salt,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Salt,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Salt,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
Salt,North,Alsuail_Hajjah,2018-04-01,2024-05-01,51
Salt,North,Amran City_Amran,2015-01-01,2024-05-01,59
Salt,North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Salt,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Salt,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Salt,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Salt,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Salt,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
Salt,South,Aden City_Aden,2015-01-01,2024-07-01,66
Salt,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Salt,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Salt,South,Marib City_Marib,2018-04-01,2024-07-01,56
Salt,South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Salt,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Salt,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Salt,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Salt,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Salt,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Salt,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Salt,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Salt,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Salt,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Salt,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Salt,Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Salt,Unified,Amran City_Amran,2016-07-01,2019-12-01,40
Salt,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Salt,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Salt,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Salt,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Salt,Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Salt,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Salt,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Salt,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Salt,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Salt,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Salt,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Salt,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Salt,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Sugar,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Sugar,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Sugar,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Sugar,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Sugar,North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Sugar,North,Amran City_Amran,2015-01-01,2024-05-01,72
Sugar,North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Sugar,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Sugar,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Sugar,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Sugar,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Sugar,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Sugar,South,Aden City_Aden,2015-01-01,2024-07-01,73
Sugar,South,Al Ghaidha_Al Maharah,2018-04-01,2024-07-01,56
Sugar,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Sugar,South,Marib City_Marib,2018-04-01,2024-07-01,56
Sugar,South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Sugar,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Sugar,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Sugar,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Sugar,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Sugar,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Sugar,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Sugar,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Sugar,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Sugar,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Sugar,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Sugar,Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Sugar,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Sugar,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Sugar,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Sugar,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Sugar,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Sugar,Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Sugar,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Sugar,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Sugar,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Sugar,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Sugar,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Sugar,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Sugar,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Sugar,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Tomatoes,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Tomatoes,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Tomatoes,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Tomatoes,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Tomatoes,North,Alsuail_Hajjah,2015-02-01,2024-05-01,70
Tomatoes,North,Amran City_Amran,2015-01-01,2024-05-01,59
Tomatoes,North,Dhamar City_Dhamar,2015-02-01,2024-05-01,71
Tomatoes,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Tomatoes,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Tomatoes,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Tomatoes,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Tomatoes,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Tomatoes,South,Aden City_Aden,2015-01-01,2024-07-01,66
Tomatoes,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Tomatoes,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Tomatoes,South,Marib City_Marib,2018-04-01,2024-07-01,56
Tomatoes,South,Mukalla City_Hadramaut,2015-02-01,2024-07-01,72
Tomatoes,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Tomatoes,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,56
Tomatoes,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Tomatoes,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Tomatoes,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Tomatoes,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Tomatoes,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Tomatoes,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Tomatoes,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Tomatoes,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Tomatoes,Unified,Alsuail_Hajjah,2016-06-01,2019-11-01,39
Tomatoes,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Tomatoes,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Tomatoes,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Tomatoes,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Tomatoes,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Tomatoes,Unified,Jihana Almarkazi_Sana'a,2016-07-01,2019-12-01,40
Tomatoes,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Tomatoes,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Tomatoes,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Tomatoes,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Tomatoes,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Tomatoes,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Tomatoes,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Tomatoes,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Wheat,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Wheat,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Wheat,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Wheat,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Wheat,North,Alsuail_Hajjah,2015-02-01,2024-05-01,70
Wheat,North,Amran City_Amran,2015-01-01,2024-05-01,59
Wheat,North,Dhamar City_Dhamar,2015-02-01,2024-05-01,71
Wheat,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Wheat,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Wheat,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Wheat,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Wheat,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Wheat,South,Aden City_Aden,2015-01-01,2024-07-01,66
Wheat,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Wheat,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Wheat,South,Marib City_Marib,2018-04-01,2024-07-01,56
Wheat,South,Mukalla City_Hadramaut,2015-02-01,2024-07-01,72
Wheat,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Wheat,South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,54
Wheat,South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Wheat,South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Wheat,Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Wheat,Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Wheat,Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Wheat,Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Wheat,Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Wheat,Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Wheat,Unified,Alsuail_Hajjah,2016-06-01,2019-11-01,39
Wheat,Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Wheat,Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Wheat,Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Wheat,Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Wheat,Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Wheat,Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Wheat,Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Wheat,Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Wheat,Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Wheat,Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Wheat,Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Wheat,Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,42
Wheat,Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Wheat,Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Wheat flour,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Wheat flour,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Wheat flour,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Wheat flour,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Wheat flour,North,Alsuail_Hajjah,2015-02-01,2024-05-01,70
Wheat flour,North,Amran City_Amran,2015-01-01,2024-05-01,72
Wheat flour,North,Dhamar City_Dhamar,2015-02-01,2024-05-01,71
Wheat flour,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Wheat flour,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Wheat flour,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Wheat flour,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Wheat flour,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Wheat flour,South,Aden City_Aden,2015-01-01,2024-07-01,73
Wheat flour,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,63
Wheat flour,South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Wheat flour,South,Marib City_Marib,2018-04-01,2024-07-01,56
Wheat flour,South,Mukalla City_Hadramaut,2015-02-01,2024-07-01,72
Wheat flour,South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
